,user_id,post_id,rating_value
0,1,487,2
1,1,1452,2
2,1,446,3
3,1,381,2
4,1,1521,3
5,1,1359,3
6,1,959,3
7,1,1321,4
8,1,915,1
9,1,1104,4
10,1,1332,2
11,1,1545,3
12,1,1138,4
13,1,1624,2
14,1,571,2
15,2,1612,3
16,2,1462,4
17,2,1576,2
18,2,970,2
19,2,1520,2
20,2,1199,4
21,2,1457,4
22,2,1106,1
23,2,174,4
24,2,251,2
25,2,1431,3
26,2,644,1
27,2,1375,2
28,2,1327,1
29,2,1570,4
30,2,867,2
31,2,1613,1
32,2,285,2
33,2,1323,3
34,2,1448,2
35,2,956,3
36,2,1203,1
37,2,812,2
38,2,683,4
39,2,422,2
40,2,1048,4
41,2,1116,2
42,2,557,2
43,2,1102,3
44,2,846,2
45,2,226,4
46,2,1031,3
47,2,1528,3
48,2,603,1
49,2,1673,3
50,2,395,4
51,2,116,2
52,2,218,3
53,2,1540,2
54,2,720,3
55,2,271,2
56,2,628,3
57,2,213,1
58,3,135,2
59,3,253,2
60,3,1128,2
61,3,1076,3
62,3,118,3
63,3,348,3
64,3,876,3
65,3,981,1
66,3,1303,4
67,3,965,2
68,3,527,1
69,3,1353,3
70,3,1672,2
71,3,979,1
72,3,862,4
73,3,428,3
74,3,791,3
75,3,175,3
76,3,1077,3
77,3,718,3
78,3,1444,3
79,3,88,1
80,3,501,2
81,3,1210,2
82,3,173,3
83,3,171,3
84,3,613,4
85,3,89,3
86,3,1106,3
87,3,534,2
88,3,1216,4
89,3,1149,4
90,3,278,1
91,3,321,2
92,3,354,1
93,3,316,3
94,3,1246,4
95,3,497,3
96,3,611,3
97,3,659,4
98,3,214,3
99,3,1000,2
100,3,1396,1
101,3,1274,3
102,3,404,1
103,3,995,2
104,3,1017,3
105,3,1031,2
106,3,736,2
107,3,1639,1
108,3,1215,2
109,3,1257,4
110,3,1644,2
111,3,325,3
112,3,667,2
113,3,1626,3
114,3,69,3
115,3,195,2
116,3,1502,2
117,3,766,1
118,3,234,2
119,3,991,1
120,3,1104,4
121,3,1051,3
122,3,83,1
123,3,292,3
124,3,747,2
125,3,1524,3
126,3,1397,4
127,3,1547,2
128,3,817,4
129,3,1184,2
130,3,799,2
131,3,1555,1
132,3,1393,2
133,3,921,2
134,3,1530,2
135,3,477,2
136,3,75,3
137,3,42,2
138,4,437,2
